"severity","type","message","component","line"
"MINOR","CODE_SMELL","Remove this unused import 'java.time.LocalDate'.","com.projet:adhesion-app:src/test/java/com/projet/adhesionapp/analytics/service/AdherencePredictionServiceTest.java","22"
"MINOR","CODE_SMELL","Remove this unused import 'java.util.List'.","com.projet:adhesion-app:src/test/java/com/projet/adhesionapp/analytics/service/AdherencePredictionServiceTest.java","23"
"MINOR","CODE_SMELL","Remove this unused import 'org.mockito.ArgumentMatchers'.","com.projet:adhesion-app:src/test/java/com/projet/adhesionapp/analytics/service/AdherencePredictionServiceTest.java","27"
"MINOR","CODE_SMELL","Remove this unused import 'java.util.List'.","com.projet:adhesion-app:src/test/java/com/projet/adhesionapp/assessment/service/TestScoringServiceTest.java","17"
"MAJOR","CODE_SMELL","Refactor the code of the lambda to have only one invocation possibly throwing a runtime exception.","com.projet:adhesion-app:src/test/java/com/projet/adhesionapp/identity/service/UserServiceTest.java","142"
"BLOCKER","CODE_SMELL","Add at least one assertion to this test case.","com.projet:adhesion-app:src/test/java/com/projet/adhesionapp/selenium/AdminDashboardE2ETest.java","67"
"BLOCKER","CODE_SMELL","Add at least one assertion to this test case.","com.projet:adhesion-app:src/test/java/com/projet/adhesionapp/selenium/AdminDashboardE2ETest.java","111"
"BLOCKER","CODE_SMELL","Add at least one assertion to this test case.","com.projet:adhesion-app:src/test/java/com/projet/adhesionapp/selenium/AdminDashboardE2ETest.java","136"
"BLOCKER","CODE_SMELL","Add at least one assertion to this test case.","com.projet:adhesion-app:src/test/java/com/projet/adhesionapp/selenium/AdminDashboardE2ETest.java","201"
"BLOCKER","CODE_SMELL","Add at least one assertion to this test case.","com.projet:adhesion-app:src/test/java/com/projet/adhesionapp/selenium/AdminDashboardE2ETest.java","220"
"BLOCKER","CODE_SMELL","Add at least one assertion to this test case.","com.projet:adhesion-app:src/test/java/com/projet/adhesionapp/selenium/AdminDashboardE2ETest.java","246"
"BLOCKER","CODE_SMELL","Add at least one assertion to this test case.","com.projet:adhesion-app:src/test/java/com/projet/adhesionapp/selenium/AdminDashboardE2ETest.java","305"
"MINOR","CODE_SMELL","Remove this unused import 'org.openqa.selenium.JavascriptExecutor'.","com.projet:adhesion-app:src/test/java/com/projet/adhesionapp/selenium/AuthenticationE2ETest.java","6"
"BLOCKER","CODE_SMELL","Add at least one assertion to this test case.","com.projet:adhesion-app:src/test/java/com/projet/adhesionapp/selenium/AuthenticationE2ETest.java","81"
"BLOCKER","CODE_SMELL","Add at least one assertion to this test case.","com.projet:adhesion-app:src/test/java/com/projet/adhesionapp/selenium/AuthenticationE2ETest.java","178"
"BLOCKER","CODE_SMELL","Add at least one assertion to this test case.","com.projet:adhesion-app:src/test/java/com/projet/adhesionapp/selenium/AuthenticationE2ETest.java","232"
"MINOR","CODE_SMELL","Remove this unused import 'org.openqa.selenium.firefox.FirefoxDriver'.","com.projet:adhesion-app:src/test/java/com/projet/adhesionapp/selenium/BaseSeleniumTest.java","8"
"MINOR","CODE_SMELL","Remove this unused import 'org.openqa.selenium.firefox.FirefoxOptions'.","com.projet:adhesion-app:src/test/java/com/projet/adhesionapp/selenium/BaseSeleniumTest.java","9"
"MAJOR","CODE_SMELL","This block of commented-out lines of code should be removed.","com.projet:adhesion-app:src/test/java/com/projet/adhesionapp/selenium/BaseSeleniumTest.java","42"
"MAJOR","CODE_SMELL","Remove this use of ""Thread.sleep()"".","com.projet:adhesion-app:src/test/java/com/projet/adhesionapp/selenium/BaseSeleniumTest.java","94"
"BLOCKER","CODE_SMELL","Add at least one assertion to this test case.","com.projet:adhesion-app:src/test/java/com/projet/adhesionapp/selenium/DashboardE2ETest.java","67"
"BLOCKER","CODE_SMELL","Add at least one assertion to this test case.","com.projet:adhesion-app:src/test/java/com/projet/adhesionapp/selenium/DashboardE2ETest.java","146"
"BLOCKER","CODE_SMELL","Add at least one assertion to this test case.","com.projet:adhesion-app:src/test/java/com/projet/adhesionapp/selenium/DashboardE2ETest.java","191"
